player_name,team_code,position,is_pitcher,is_keeper
M. Busch,DKG,2B,FALSE,FALSE
C. Bellinger,DMK,2B,FALSE,FALSE
R. Hoskins,DDG,2B,FALSE,FALSE
M. Olson,SKD,2B,FALSE,FALSE
F. Freeman,RGS,2B,FALSE,FALSE
S. Steer,DEV,2B,FALSE,FALSE
C. Walker,LDY,2B,FALSE,FALSE
P. Alonso,SHO,2B,FALSE,FALSE
K. Marte,DKG,SS,FALSE,FALSE
B. Stott,DMK,SS,FALSE,FALSE
L. Garcia,DDG,SS,FALSE,FALSE
H.S. Kim,SKD,SS,FALSE,FALSE
L. Arraez,RGS,SS,FALSE,FALSE
O. Albies,DEV,SS,FALSE,FALSE
M. Betts,LDY,SS,FALSE,FALSE
X. Bogaerts,SHO,SS,FALSE,FALSE
E. De La Cruz,DKG,3B,FALSE,FALSE
E. Tovar,DMK,3B,FALSE,FALSE
F. Lindor,DDG,3B,FALSE,FALSE
T. Turner,SKD,3B,FALSE,FALSE
O. Cruz,RGS,3B,FALSE,FALSE
D. Swanson,DEV,3B,FALSE,FALSE
W. Adames,LDY,3B,FALSE,FALSE
N. Hoerner,SHO,3B,FALSE,FALSE
N. Marte,DKG,OF,FALSE,FALSE
"J, Candelario",DMK,OF,FALSE,FALSE
M. Chapman,DDG,OF,FALSE,FALSE
K. Hayes,SKD,OF,FALSE,FALSE
N. Arenado,RGS,OF,FALSE,FALSE
A. Riley,DEV,OF,FALSE,FALSE
M. Muncy,LDY,OF,FALSE,FALSE
M. Machado,SHO,OF,FALSE,FALSE
F. Tatis Jr.,DKG,OF,FALSE,FALSE
C. Carroll,DMK,OF,FALSE,FALSE
N. Castellanos,DDG,OF,FALSE,FALSE
A. McCutchen,SKD,OF,FALSE,FALSE
J. Suwinski,RGS,OF,FALSE,FALSE
H. Ramos,DEV,OF,FALSE,FALSE
W. Merrifield,LDY,OF,FALSE,FALSE
J. Young,SHO,OF,FALSE,FALSE
J. Chisholm Jr.,DKG,OF,FALSE,FALSE
A. Pages,DMK,OF,FALSE,FALSE
J. Walker,DDG,OF,FALSE,FALSE
J. Soler,SKD,OF,FALSE,FALSE
L. Nootbaar,RGS,OF,FALSE,FALSE
S. Frelick,DEV,OF,FALSE,FALSE
B. Reynolds,LDY,OF,FALSE,FALSE
B. Donovan,SHO,OF,FALSE,FALSE
M. Vargas,DKG,OF,FALSE,FALSE
S. Suzuki,DMK,OF,FALSE,FALSE
J. Kelenic,DDG,OF,FALSE,FALSE
M. Tauchman,SKD,OF,FALSE,FALSE
B. Doyle,RGS,OF,FALSE,FALSE
L. Thomas,DEV,OF,FALSE,FALSE
H. Bader,LDY,OF,FALSE,FALSE
I. Happ,SHO,OF,FALSE,FALSE
J. Outman,DKG,OF,FALSE,FALSE
J. Profar,DMK,OF,FALSE,FALSE
J. Chourio,DDG,OF,FALSE,FALSE
C. Blackmon,SKD,OF,FALSE,FALSE
B. Nimmo,RGS,OF,FALSE,FALSE
N. Jones,DEV,OF,FALSE,FALSE
B. Marsh,LDY,OF,FALSE,FALSE
B. De La Cruz,SHO,OF,FALSE,FALSE
J. Winker,DKG,C,FALSE,FALSE
G. Gurriel,DMK,C,FALSE,FALSE
J. Wood,DDG,C,FALSE,FALSE
C. Yelich,SKD,C,FALSE,FALSE
M. Conforto,RGS,C,FALSE,FALSE
A. Burleson,DEV,C,FALSE,FALSE
T. Hernandez,LDY,C,FALSE,FALSE
S. Marte,SHO,C,FALSE,FALSE
P. Bailey,DKG,C,FALSE,FALSE
F. Alvarez,DMK,C,FALSE,FALSE
JT. Realmuto,DDG,C,FALSE,FALSE
G. Moreno,SKD,C,FALSE,FALSE
Wilm. Contreras,RGS,C,FALSE,FALSE
E. Diaz,DEV,C,FALSE,FALSE
Wiln. Contreras,LDY,C,FALSE,FALSE
L. Torrens,SHO,C,FALSE,FALSE
K. Ruiz,DKG,CM,FALSE,FALSE
S. Murphy,DMK,CM,FALSE,FALSE
H. Goodman,DDG,CM,FALSE,FALSE
T. Stephenson,SKD,CM,FALSE,FALSE
T. d’Arnaud,RGS,CM,FALSE,FALSE
K. Higashioka,DEV,CM,FALSE,FALSE
W. Smith,LDY,CM,FALSE,FALSE
I. Herrera,SHO,CM,FALSE,FALSE
J. Bell,DKG,MI,FALSE,FALSE
T. Lipscomb,DMK,MI,FALSE,FALSE
R. Tellez,DDG,MI,FALSE,FALSE
P. Goldschmidt,SKD,MI,FALSE,FALSE
R. McMahon,RGS,MI,FALSE,FALSE
M. Vientos,DEV,MI,FALSE,FALSE
A. Bohm,LDY,MI,FALSE,FALSE
B. Harper,SHO,MI,FALSE,FALSE
N. Gorman,DKG,DH,FALSE,FALSE
J. Merrill,DMK,DH,FALSE,FALSE
CJ. Abrams,DDG,DH,FALSE,FALSE
G. Lux,SKD,DH,FALSE,FALSE
M. Winn,RGS,DH,FALSE,FALSE
J. Cronenworth,DEV,DH,FALSE,FALSE
B. Turang,LDY,DH,FALSE,FALSE
T. Estrada,SHO,DH,FALSE,FALSE
J.D. Martinez,DKG,??,FALSE,FALSE
S. Ohtani,DMK,??,FALSE,FALSE
C. Morel,DDG,??,FALSE,FALSE
J. India,SKD,??,FALSE,FALSE
K. Schwarber,RGS,??,FALSE,FALSE
J. Pederson,DEV,??,FALSE,FALSE
J. Burger,LDY,??,FALSE,FALSE
M. Ozuna,SHO,??,FALSE,FALSE
K. Harrison,SKD,P,TRUE,FALSE
E. Diaz,DKG,P,TRUE,FALSE
D. Hudson,DMK,P,TRUE,FALSE
C. Doval,DDG,P,TRUE,FALSE
J. Hicks,SKD,P,TRUE,FALSE
M. Parker,RGS,P,TRUE,FALSE
J. Luzardo,DEV,P,TRUE,FALSE
B. Treinen,LDY,P,TRUE,FALSE
M. Fried,SHO,P,TRUE,FALSE
T. Glasnow,DKG,P,TRUE,FALSE
C. Rea,DMK,P,TRUE,FALSE
L. Webb,DDG,P,TRUE,FALSE
C. Morton,SKD,P,TRUE,FALSE
F. Peralta,RGS,P,TRUE,FALSE
B. Pfaadt,DEV,P,TRUE,FALSE
C. Holderman,LDY,P,TRUE,FALSE
S. Manaea,SHO,P,TRUE,FALSE
W. Buehler,DKG,P,TRUE,FALSE
M. Waldron,DMK,P,TRUE,FALSE
T. Myers,DDG,P,TRUE,FALSE
P. Sewald,SKD,P,TRUE,FALSE
J. Jones,RGS,P,TRUE,FALSE
A. Diaz,DEV,P,TRUE,FALSE
E. Jeremiah,LDY,P,TRUE,FALSE
L. Lynn,SHO,P,TRUE,FALSE
R. Iglesias,DKG,P,TRUE,FALSE
J. Steele,DMK,P,TRUE,FALSE
L. Severino,DDG,P,TRUE,FALSE
S. Ohtani,SKD,P,TRUE,FALSE
J. Paxton,RGS,P,TRUE,FALSE
C. Sanchez,DEV,P,TRUE,FALSE
"A, Banda",LDY,P,TRUE,FALSE
J. Taillon,SHO,P,TRUE,FALSE
M. Mercado,DKG,P,TRUE,FALSE
Z. Wheeler,DMK,P,TRUE,FALSE
DJ. Herz,DDG,P,TRUE,FALSE
K. Harrison,SKD,P,TRUE,FALSE
A. Abbott,RGS,P,TRUE,FALSE
Z. Gallen,DEV,P,TRUE,FALSE
M. Strahm,LDY,P,TRUE,FALSE
B. Snell,SHO,P,TRUE,FALSE
M. Gore,DKG,P,TRUE,FALSE
J. Alvarado,DMK,P,TRUE,FALSE
C. Scott,DDG,P,TRUE,FALSE
T. Scott,SKD,P,TRUE,FALSE
H. Neris,RGS,P,TRUE,FALSE
N. Lodolo,DEV,P,TRUE,FALSE
A. Vesia,LDY,P,TRUE,FALSE
K. Gibson,SHO,P,TRUE,FALSE
R. Suarez,DKG,P,TRUE,FALSE
R. Lopez,DMK,P,TRUE,FALSE
J. Hoffman,DDG,P,TRUE,FALSE
C. Sale,SKD,P,TRUE,FALSE
D. Bednar,RGS,P,TRUE,FALSE
K. Finnegan,DEV,P,TRUE,FALSE
T. Rogers,LDY,P,TRUE,FALSE
M. King,SHO,P,TRUE,FALSE
K. Senga,DKG,P,TRUE,FALSE
A. Nola,DMK,P,TRUE,FALSE
G. Stone,DDG,P,TRUE,FALSE
D. Cease,SKD,P,TRUE,FALSE
H. Greene,RGS,P,TRUE,FALSE
J. Quintana,DEV,P,TRUE,FALSE
B. Miller,LDY,P,TRUE,FALSE
S. Gray,SHO,P,TRUE,FALSE
M. Harris II,DKG,IL2,FALSE,FALSE
R. Acuna Jr.,DMK,IL2,FALSE,FALSE
T. Edman,RGS,IL2,FALSE,FALSE
