player_name,mlb_id,team_code,is_pitcher,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
M. Harris II,,DKD,false,,,,,,,,,,,,,,
R. Acuna Jr.,,DLC,false,,,,,,,,,,,,,,
J. Soto,,DDD,false,,,,,,,,,,,,,,
TJ. Friedl,,SDS,false,,,,,,,,,,,,,,
S. Suzuki,,RSR,false,,,,,,,,,,,,,,
C. Morel,,DD2,false,,,,,,,,,,,,,,
M. Betts,,LDL,false,,,,,,,,,,,,,,
B. Harper,,TST,false,,,,,,,,,,,,,,
C. Yelich,,DKD,false,,,,,,,,,,,,,,
C. Carroll,,DLC,false,,,,,,,,,,,,,,
J. McCarthy,,DDD,false,,,,,,,,,,,,,,
J. Berti,,SDS,false,,,,,,,,,,,,,,
T. O'Neill,,RSR,false,,,,,,,,,,,,,,
N. Jones,,DD2,false,,,,,,,,,,,,,,
N. Castellanos,,LDL,false,,,,,,,,,,,,,,
B. Reynolds,,TST,false,,,,,,,,,,,,,,
T. Pham,,DKD,false,,,,,,,,,,,,,,
J. Outman,,DLC,false,,,,,,,,,,,,,,
M. Tauchman,,DDD,false,,,,,,,,,,,,,,
D. De La Cruz,,SDS,false,,,,,,,,,,,,,,
H. Davis,,RSR,false,,,,,,,,,,,,,,
Jn. Rojas,,DD2,false,,,,,,,,,,,,,,
M. Conforto,,LDL,false,,,,,,,,,,,,,,
S. Marte,,TST,false,,,,,,,,,,,,,,
J.Chisholm Jr.,,DKD,false,,,,,,,,,,,,,,
J. Pederson,,DLC,false,,,,,,,,,,,,,,
T. Grisham,,DDD,false,,,,,,,,,,,,,,
J. Soler,,SDS,false,,,,,,,,,,,,,,
K. Schwarber,,RSR,false,,,,,,,,,,,,,,
S. Frelick,,DD2,false,,,,,,,,,,,,,,
L. Thomas,,LDL,false,,,,,,,,,,,,,,
B. Nimmo,,TST,false,,,,,,,,,,,,,,
W. Benson,,DKD,false,,,,,,,,,,,,,,
T. Estrada,,DLC,false,,,,,,,,,,,,,,
L. Nootbaar,,DDD,false,,,,,,,,,,,,,,
J. McNeil,,SDS,false,,,,,,,,,,,,,,
J. Suwinski,,RSR,false,,,,,,,,,,,,,,
J. Fraley,,DD2,false,,,,,,,,,,,,,,
A. Burleson,,LDL,false,,,,,,,,,,,,,,
I. Happ,,TST,false,,,,,,,,,,,,,,
R. Tellez,,DKD,false,,,,,,,,,,,,,,
C. Santana,,DLC,false,,,,,,,,,,,,,,
J. Cronenworth,,DDD,false,,,,,,,,,,,,,,
M. Olson,,SDS,false,,,,,,,,,,,,,,
F. Freeman,,RSR,false,,,,,,,,,,,,,,
J. Meneses,,DD2,false,,,,,,,,,,,,,,
M. Vargas,,LDL,false,,,,,,,,,,,,,,
P. Alonso,,TST,false,,,,,,,,,,,,,,
Am. Rosario,,DKD,false,,,,,,,,,,,,,,
N. Gorman,,DLC,false,,,,,,,,,,,,,,
T. Edman,,DDD,false,,,,,,,,,,,,,,
J. India,,SDS,false,,,,,,,,,,,,,,
B. Stott,,RSR,false,,,,,,,,,,,,,,
O. Albies,,DD2,false,,,,,,,,,,,,,,
