player_name,team_code,position,is_pitcher
T. Grisham,DKG,OF,FALSE
R. Acuna Jr.,DMK,OF,FALSE
J. Soto,DDG,OF,FALSE
T. Edman,SKD,OF,FALSE
C. Bellinger,RGS,OF,FALSE
N. Castellanos,DEV,OF,FALSE
M. Betts,LDY,OF,FALSE
H. Bader,SHO,OF,FALSE
M. Harris,DKG,OF,FALSE
L. Gonzalez,DMK,OF,FALSE
C. Blackmon,DDG,OF,FALSE
Je. Sanchez,SKD,OF,FALSE
J. Suwinski,RGS,OF,FALSE
C. Yelich,DEV,OF,FALSE
K. Schwarber,LDY,OF,FALSE
B. Reynolds,SHO,OF,FALSE
A. Thomas,DKG,OF,FALSE
S. Marte,DMK,OF,FALSE
J. Solar,DDG,OF,FALSE
L. Thomas,SKD,OF,FALSE
C. Morel,RGS,OF,FALSE
Y. Hernandez,DEV,OF,FALSE
J. Yepez,LDY,OF,FALSE
H. Renfroe,SHO,OF,FALSE
I. Happ,DKG,OF,FALSE
J. Pederson,DMK,OF,FALSE
M. Ozuna,DDG,OF,FALSE
T. Pham,SKD,OF,FALSE
S. Suzuki,RGS,OF,FALSE
N. Senzel,DEV,OF,FALSE
C. Taylor,LDY,OF,FALSE
M. Yastrzemski,SHO,OF,FALSE
M.Vierling,DKG,OF,FALSE
T. O’Neill,DMK,OF,FALSE
M. Nimmo,DDG,OF,FALSE
K. Bryant,SKD,OF,FALSE
A. McClutchen,RGS,OF,FALSE
M. Canha,DEV,OF,FALSE
J. Peterson,LDY,OF,FALSE
A. Duvall,SHO,OF,FALSE
M. Olson,DKG,1B,FALSE
CJ Cron,DMK,1B,FALSE
P. Goldschmidt,DDG,1B,FALSE
J. Aguilar,SKD,1B,FALSE
F. Freeman,RGS,1B,FALSE
C. Joe,DEV,1B,FALSE
C. Walker,LDY,1B,FALSE
P. Alonso,SHO,1B,FALSE
N. Gorman,DKG,2B,FALSE
B. Drury,DMK,2B,FALSE
K. Wong,DDG,2B,FALSE
J. India,SKD,2B,FALSE
T. Estrada,RGS,2B,FALSE
K. Marte,DEV,2B,FALSE
M. Muncy,LDY,2B,FALSE
J. Chisholm,SHO,2B,FALSE
N. Arenado,DKG,3B,FALSE
B. Donovan,DMK,3B,FALSE
A. Bohm,DDG,3B,FALSE
R. McMahon,SKD,3B,FALSE
A. Riley,RGS,3B,FALSE
J. Berti,DEV,3B,FALSE
W. Flores,LDY,3B,FALSE
M. Machado,SHO,3B,FALSE
L. Urias,DKG,SS,FALSE
J. Cronenworth,DMK,SS,FALSE
F. Lindor,DDG,SS,FALSE
T. Turner,SKD,SS,FALSE
O. Cruz,RGS,SS,FALSE
W. Adames,DEV,SS,FALSE
D. Castillo,LDY,SS,FALSE
D. Swanson,SHO,SS,FALSE
K. Ruiz,DKG,C,FALSE
JT. Realmuto,DMK,C,FALSE
D. Varsho,DDG,C,FALSE
T. Stephenson,SKD,C,FALSE
W. Contreras,RGS,C,FALSE
N. Fortes,DEV,C,FALSE
W. Smith,LDY,C,FALSE
O. Narvaez,SHO,C,FALSE
PJ. Higgins,DKG,C,FALSE
V. Caratini,DMK,C,FALSE
Wm. Contreras,DDG,C,FALSE
C. Kelly,SKD,C,FALSE
J. McCann,RGS,C,FALSE
T. d’Arnaud,DEV,C,FALSE
J. Alfaro,LDY,C,FALSE
Y. Gomes,SHO,C,FALSE
K. Hayes,DKG,CM,FALSE
R. Tellez,DMK,CM,FALSE
R. Hoskins,DDG,CM,FALSE
J. Bell,SKD,CM,FALSE
"P, Wisdom",RGS,CM,FALSE
G. Perdomo,DEV,CM,FALSE
J. Turner,LDY,CM,FALSE
J. Rojas,SHO,CM,FALSE
F. Tatis Jr.,DKG,MI,FALSE
N. Hoerner,DMK,MI,FALSE
B. Rodgers,DDG,MI,FALSE
G. Lux,SKD,MI,FALSE
Lu. Garcia,RGS,MI,FALSE
D. Solano,DEV,MI,FALSE
J. McNeil,LDY,MI,FALSE
